Student_Name,Gender,DOB,Malayalam,Physics,Chemistry,English,Biology,Economics,History,Civics,total_marks,Average_marks
John,M,05-04-1988,55,45,56,87,21,52,89,65,470,104.44444444444444
Suresh,M,04-05-1987,75,96,78,64,90,61,58,2,524,116.44444444444444
Ramesh,M,25-05-1989,25,54,89,76,95,87,56,74,556,123.55555555555556
Jessica,F,12-08-1990,78,96,86,63,54,89,75,45,586,130.22222222222223
Jennifer,F,02-09-1989,58,96,78,46,96,77,83,53,587,130.44444444444446
Annu,F,05-04-1988,45,87,52,89,55,89,87,52,556,123.55555555555556
pooja,F,04-05-1987,55,64,61,58,75,58,64,61,496,110.22222222222223
Ritesh,M,25-05-1989,54,76,87,56,25,56,76,87,517,114.88888888888889
Farha,F,12-08-1990,55,63,89,75,78,75,63,89,587,130.44444444444446
Mukesh,M,02-09-1989,96,46,77,83,58,83,46,77,566,125.77777777777777
